Geography,Gender,Indicators,Percent,Number,Date
Canada,Total,Always,65.5,20430,2021-07-01
Canada,Total,Always,63.1,19775,2021-10-01
Canada,Total,Always,63.8,20161,2022-01-01
Canada,Total,Always,62.6,19831,2022-04-01
Canada,Total,Always,64.6,20548,2022-07-01
Canada,Total,Always,57.3,18311,2022-10-01
Canada,Total,Always,56.8,18295,2023-04-01
Canada,Total,Always,59.9,19841,2024-01-01
Canada,Total,Always,53,17721,2024-04-01
Canada,Total,Always,57.2,19332,2024-07-01
Canada,Total,Always,56.3,19151,2024-10-01
Canada,Total,Always,57.8,19884,2025-01-01
Canada,Total,Always,55.9,19305,2025-04-01
Canada,Total,Sometimes,27,8420,2021-07-01
Canada,Total,Sometimes,28,8781,2021-10-01
Canada,Total,Sometimes,28.3,8925,2022-01-01
Canada,Total,Sometimes,28.4,8987,2022-04-01
Canada,Total,Sometimes,27.7,8821,2022-07-01
Canada,Total,Sometimes,31.4,10043,2022-10-01
Canada,Total,Sometimes,30.1,9696,2023-04-01
Canada,Total,Sometimes,30.2,10016,2024-01-01
Canada,Total,Sometimes,33.8,11288,2024-04-01
Canada,Total,Sometimes,30.3,10232,2024-07-01
Canada,Total,Sometimes,31.3,10643,2024-10-01
Canada,Total,Sometimes,30.9,10616,2025-01-01
Canada,Total,Sometimes,32.1,11078,2025-04-01
Canada,Total,Rarely,7.6,2357,2021-07-01
Canada,Total,Rarely,8.9,2778,2021-10-01
Canada,Total,Rarely,7.9,2504,2022-01-01
Canada,Total,Rarely,9,2864,2022-04-01
Canada,Total,Rarely,7.7,2459,2022-07-01
Canada,Total,Rarely,11.2,3591,2022-10-01
Canada,Total,Rarely,13.1,4220,2023-04-01
Canada,Total,Rarely,9.9,3265,2024-01-01
Canada,Total,Rarely,13.2,4405,2024-04-01
Canada,Total,Rarely,12.5,4227,2024-07-01
Canada,Total,Rarely,12.5,4249,2024-10-01
Canada,Total,Rarely,11.4,3906,2025-01-01
Canada,Total,Rarely,12,4131,2025-04-01
Canada,Men,Always,64.6,9943,2021-07-01
Canada,Men,Always,61.7,9588,2021-10-01
Canada,Men,Always,62.8,9794,2022-01-01
